word,category,weight
anal,sexual,2
anus,general,1
arrse,general,1
arse,general,1
ass,general,1
ass-fucker,aggressive,2
asses,general,1
assfucker,aggressive,2
assfukka,aggressive,2
asshole,aggressive,2
assholes,aggressive,2
asswhole,aggressive,2
ballbag,aggressive,2
balls,general,1
ballsack,sexual,2
bastard,general,1
bdsm,sexual,2
beastial,general,1
beastiality,general,1
bellend,sexual,1
bestial,general,1
bestiality,general,1
biatch,general,2
bitch,general,2
bitcher,general,1
bitchers,general,1
bitches,general,1
bitchin,general,1
bitching,general,1
blow job,sexual,3
blowjob,sexual,3
blowjobs,sexual,3
boiolas,aggressive,3
bollock,general,1
bollok,general,1
boner,sexual,1
boob,sexual,1
boobs,sexual,1
breasts,sexual,1
buceta,sexual,2
bunny fucker,aggressive,2
butt,general,1
butthole,general,1
buttmuch,aggressive,1
buttplug,general,1
carpet muncher,aggressive,2
cawk,general,1
chinaman,offensive,1
chinamen,offensive,1
chink,offensive,2
cipa,aggressive,1
clit,sexual,3
clitoris,sexual,2
clits,sexual,2
cnut,sexual,1
cock,sexual,2
cock-sucker,aggressive,1
cockface,aggressive,2
cockhead,aggressive,2
cockmunch,aggressive,2
cockmuncher,aggressive,2
cocks,sexual,1
cocksuck,sexual,2
cocksucked,sexual,2
cocksucker,aggressive,2
cocksucking,aggressive,2
cocksucks,aggressive,2
cocksuka,aggressive,2
cocksukka,aggressive,2
coon,offensive,2
crap,general,1
crip,general,1
cum,sexual,2
cumming,sexual,2
cums,sexual,2
cumshot,sexual,3
cunilingus,sexual,3
cunillingus,sexual,3
cunnilingus,sexual,3
cunt,aggressive,3
cuntlick,sexual,2
cuntlicker,aggressive,3
cuntlicking,sexual,3
cunts,aggressive,3
cyberfuck,sexual,2
cyberfucked,sexual,2
cyberfucking,sexual,2
dago,offensive,1
dick,aggressive,1
dickhead,aggressive,2
dildo,sexual,2
dildos,sexual,2
dink,aggressive,1
dinks,aggressive,1
dog-fucker,aggressive,2
doggin,sexual,2
dogging,sexual,2
douchebag,aggressive,1
dyke,offensive,2
ejaculate,sexual,3
ejaculated,sexual,3
ejaculates,sexual,3
ejaculating,sexual,3
ejaculatings,sexual,3
ejaculation,sexual,3
fag,offensive,2
faggot,offensive,3
fagot,offensive,3
fagots,offensive,3
fags,offensive,3
fanny,general,1
fannyflaps,general,2
fannyfucker,aggressive,2
fatass,aggressive,1
fatso,aggressive,1
fellatio,sexual,3
fingerfuck,sexual,3
fingerfucked,sexual,3
fingerfucker,sexual,3
fingerfuckers,sexual,3
fingerfucking,sexual,3
fingerfucks,sexual,3
fistfuck,sexual,3
fistfucked,sexual,3
fistfucker,sexual,3
fistfuckers,sexual,3
fistfucking,sexual,3
fistfuckings,sexual,3
fistfucks,sexual,3
flange,aggressive,2
fuck,aggressive,2
fucka,aggressive,2
fucked,general,2
fucker,aggressive,2
fuckers,aggressive,2
fuckhead,aggressive,2
fuckheads,aggressive,2
fuckin,general,2
fucking,general,2
fuckings,general,2
fuckme,general,2
fucks,general,2
fuckwhit,general,2
fuckwit,general,2
fudge packer,offensive,2
fudgepacker,offensive,2
gangbang,sexual,2
gangbanged,sexual,2
gangbangs,sexual,2
gaysex,sexual,2
gimp,sexual,2
goatse,general,1
gook,offensive,3
gyp,offensive,2
hardcoresex,sexual,3
homo,offensive,2
hooker,offensive,2
horniest,sexual,1
horny,sexual,1
hotsex,sexual,2
jack-off,sexual,3
jackoff,sexual,3
jap,offensive,3
jerk-off,offensive,3
jism,sexual,2
jiz,sexual,2
jizm,sexual,2
